512x512,1024x1024,2048x2048,4096x4096
0.05467,0.184602,0.932417,3.809231
0.019902,0.20147,0.937765,3.913112
0.042312,0.190844,0.919985,3.848249
0.026888,0.181819,0.926765,3.860312
0.03842,0.19717,0.966417,3.82813
0.043856,0.175575,0.927109,3.819247
0.016612,0.190253,0.93999,3.87133
0.036987,0.161478,0.929249,3.802647
0.037076,0.210007,0.955051,3.818641
0.044661,0.176505,0.93444,3.823182
