512x512,1024x1024,2048x2048,4096x4096
1.563998222,6.313508034,25.03299952,100.0498307
1.576002359,6.304708242,25.04008436,100.5618567
1.575999498,6.320942879,25.41100121,101.2691324
1.573997259,6.368999243,25.14280653,101.0117409
1.582998037,6.383996248,25.12904716,100.6198962
1.59600091,6.242998838,24.989537,102.2391984
1.565998554,6.292999268,25.11501217,100.9486341
1.58999896,6.323326349,25.15672135,100.986275
1.588998795,6.351359367,24.98236704,102.5130827
1.578999281,6.312997341,25.07708597,101.9593987
