512x512,1024x1024,2048x2048,4096x4096
0.049724,0.198361,0.807859,3.827921
0.049697,0.197962,0.818093,3.536798
0.049748,0.197846,0.809711,3.557232
0.049691,0.19859,0.813513,3.564044
0.049886,0.198653,0.813539,3.552885
0.049662,0.197987,0.815067,3.5423
0.049819,0.197785,0.814394,3.559859
0.049758,0.197647,0.812301,3.556006
0.050071,0.198232,0.819511,3.544135
0.049801,0.198025,0.817392,3.534471
